username,ulasan,rating,tanggal
Brian Ananda Putra Ramadhan,Burikkk,1,2026-05-24 16:28:30
indira syifa,Masih banyak fitur yang perlu ditingkatkan. Saran saya tambahkan opsi pembatalan tiket agar tidak ada tiket yang sia-sia. Tambahkan juga opsi penggantian metode pembayaran dan akses lihat ke pembayaran yang masih di proses soalnya kalau ga sengaja keluar pas pembayaran berlangsung ga bisa pesan tiket dengan cepat harus nunggu beberapa menit. Sukses selalu,2,2026-05-24 14:50:18
Febrianti Yuninda,"biaya admin terlalu banyak, proses nya lama banget, ribet, chat di pusat bantuan lewat wa maupun ig slow respon bahkan gaada respon sama sekali. pelayanan nya lemot.",1,2026-05-24 13:25:13
Siti Masruroh,"lebih praktis, memudahkan untuk banyak orang",5,2026-05-24 13:15:13
Sri Wahyuni,ngebug di hp Oppo Reno 13 5g. tanggal g bisa diubah. tmpiln jelek pilihan kursinya juga susah.,1,2026-05-24 12:58:01
Anto Wiriadisastra,bagus,5,2026-05-24 12:42:59
Sunar. ST,good,5,2026-05-24 12:38:06
Satoru Tamaba,mau daftar pakai ewallet aja lemot banget loading nya,5,2026-05-24 12:09:07
Gregorius Satria Wibawa,tolol bayar gabisa bisa,1,2026-05-24 11:42:30
Axel Devando,mau login pakai nomer handphone g bisa tulisan nya sedang ada gangguan sudah uninstal aplikasi berulang kali tetapi tetap saja tidak bisa.,3,2026-05-24 11:33:39
Muhammad Rivan Trianto Trianto,maaf nih di kasih bintang 4 aja deh soalnya aplikasi nya sering maintenance suka males kadang kalo udah beli tiket terus pas mau boarding malah maintenance teruss 🙏🙏 tolong dong perbaiki bug nya yang bikin kesel ini,4,2026-05-24 11:27:53
Dacunx Slow,lagi di butuhin malah gangguan bangke emang mana lama amat lagi,1,2026-05-24 11:27:39
Bang Speed Chanel,buat wilayah padang sumatera barat ga bisa di akses,2,2026-05-24 11:22:18
Mohamad Hidayat,tampilan udah bagus2 malah dirubah peak,2,2026-05-24 11:13:58
Errina Prida,"masih pembaruan di sistemnya, mau beli tiket masih nggak bisa. semoga secepatnya agar bisa membeli tiket.",1,2026-05-24 11:09:50
NEYMAR Qabila,mantap lah asli,5,2026-05-24 11:06:37
Nurdiansyah Ramdhan,"top up lewat mobile, dipotong 2500 tanpa pemberitahuan 🤦‍♂️",1,2026-05-24 10:51:50
Muhammad Hudi,mantap,4,2026-05-24 10:06:09
Dodi Supriyadi,ko skrng susah boking tiket kreta jarak jauh Pagaden pasar Turi buat mesan di bulan depan nga pernah muncul jabwal nya,1,2026-05-24 09:41:45
Diana Komalasari,gampang mudah,5,2026-05-24 08:28:13
neco robin,aplikasi tidak bisa refund medioker,1,2026-05-24 07:56:56
Ana Sukri,tolol,1,2026-05-24 06:29:31
ndai vino,oke Bangets,5,2026-05-24 05:45:19
FITRI ANITASARI,baik sekali,5,2026-05-24 05:22:39
Lukius S,mudah sekali,5,2026-05-24 04:27:40
dedy harnawan,Istimewa,5,2026-05-24 03:11:27
Iwan Suwanda,kenapa akhir2 ini tiket kereta ekonomi Airlangga di harga 104rb tidak ada di aplikasi yah? apa sudah mulai ada permainan calo?,4,2026-05-24 02:26:25
Warman Wahyu Satrio,payah bgt,1,2026-05-24 02:21:48
Dede Saepudin,mantapppp,5,2026-05-24 01:20:31
Restu Wahyuni,"Sering lemot, tulisannya jadwal kereta tak tersedia, udah instal ulnag juga ttp aama aja, udah di matikan dlu hp.nya juga sama aja, sebel",3,2026-05-24 00:10:13
djoko santoso,KAI MAKIN ASYIK... BRAVO KAI,5,2026-05-23 23:20:28
Riez Thina,gampang banget kalo buat cancel tiket,5,2026-05-23 22:47:33
Bakoel Endog,di update makin gak jelas... nyari tiket tidak tersedia mulu... kalau aplikasi belom Mateng jangan di sebar dulu,3,2026-05-23 22:40:26
Dendy Indra Prabowo,"ini aplikasi dr tahun ke tahun tdk lebih baik, mau jd member masukin OTP liat d email, masuk aplikasi lg apa yg kita isi td sudah ilang kembali k awal, coba ngintip pake WA kodenya jg gt keluar jendela masuk lagi kembali k awal lagi.",1,2026-05-23 22:28:03
Puspa Ridhaningtyas,"setelah diperbarui apk nya jadi lemot jelek saya kehabisan tiket terus,sistemnya ga jelas sama sekali",1,2026-05-23 19:12:51
Hanni Floreta,"Jujur saya nyaman naik kereta, namun kendala di pemesanan tiket. tolong perbaiki kembali sistem, rela begadang untuk pesan tiket di jam 12 malam, ternyatapas dibuka sistem error.",3,2026-05-23 17:53:13
Muhammad Fauzannabil,"apknya banyak lag, jaringan dan hp lancar aman tolong perbaiki lagi apknya dan servernya biar ga down",1,2026-05-23 17:36:28
Asep Kurniawan,sejak di perbarui tambah lemot aplikasi walaupun hp sudah bagus,2,2026-05-23 17:08:16
Haryanto ryanto,aplikasinya sekarang g jelas jadwal selalu dalam penyesuaian gak bisa pesan tiket di suruh chek berkala tapi sampe sekarang sama aja belom bisa beli tiket,1,2026-05-23 16:55:35
Dede S,"Setelah diupdate, saya yang sebelumnya sudah terdata sebagai penumpang reduksi lansia malah ga bisa dimunculkan. padahal saya sering melakukan perjalanan untuk berobat dll. mohon penjelasannya",1,2026-05-23 15:26:32
utut wediastuti,mantap,5,2026-05-23 14:20:43
Obbie Fermana,good,5,2026-05-23 13:38:28
Alfygha Channel,puas,5,2026-05-23 12:49:32
Albertus Sapto (bertus),mau cari tiket on line gimana..kalau kota tujuan dan kota asal dan pilihan tiketnya ..terlalu sering kosong halamannya...gak muncul..sekali lagi terlalu sering....mohon perbaikan di aplikasi ini...,2,2026-05-23 12:34:42
Anggi Rusmana,semenjak di update sering elor pas waktu memilih kursi padahal jaringan bagus,2,2026-05-23 12:03:13
Yn Craft,ok,5,2026-05-23 11:51:22
Lukman Zaenuri,"aplikasi macam apa ini.... di pakai mau booking muter"" can't booking bolak balik isi data penumpang terus giliran mau di bayar pakai e wallet muter balik lagi ke pemesanan,mana limit time juga lima menit,keburu expired time limit Boss...",1,2026-05-23 10:41:20
Putri rasyid rakhma,Buruk sangat buruk .. Reload sangat lama . Bahkan 15 menit pun .. Tiba2 no respon donk. 2x ketinggalan kereta gara2 reloadnya lama ... Bener bener mau ngatain kenapa sih d ubah ubah .. Kl prosesnya lama. Tolong perbaikin reloadnya,5,2026-05-23 08:51:13
bani achmad,keren,5,2026-05-23 08:42:56
endung sudarso,ngga bisa dibuka,1,2026-05-23 07:34:49
budi irawati,good,5,2026-05-23 07:30:46
pecinta bussid,ok,5,2026-05-23 06:58:28
vonny aryani,praktis dan bermanfaat,5,2026-05-23 06:49:42
Fransisca Feronica Souhuwat (Fransisca),Tepat waktu.,5,2026-05-23 06:43:07
nirza Ada Ada,sanggat sanggat membantu dan cepat untuk pesan tiket,5,2026-05-23 06:38:53
Agus S,mantap pelayanannya,5,2026-05-23 05:28:41
Lola Rahayu,saya gak bisa download apk ini,3,2026-05-23 05:28:40
Febryant Anggi s,"sudah pesan tiket kereta tawang jaya premium, kursi 17 A, 17 B, 17 C, setelah dilakukan pembayaran kursi berubah jadi 14A,14B,14C 👎",1,2026-05-23 03:31:37
Untung Suprapto,pelayanan sangat baik.,5,2026-05-23 03:00:30
Hanan Botak,"ngebug Mulu tiap nyari tiket ga ada Mulu pas di aktifkan habis nya juga ga ada,apalagi pas nyari tiket buat besok besok nya lagi pas di ulang pasti kosong ga ada nama tiket nya",1,2026-05-23 02:22:32
prauttama rizky,"mau login, gangguan terus tulisannya",1,2026-05-23 02:21:43
Asep Widodo,aplikasi jelek banget!!!! untuk log in aja di persulit!!!!,1,2026-05-23 01:29:48
Dewi Suharti,mohon tingkatkan keamanan dan mudahkanlah warga untuk naik kereta kasihan orang tua yg gk bisa mengoperasikan hp,4,2026-05-23 00:16:59
Fherry Abderrahman,agak ribet dan cukup berat,3,2026-05-22 23:52:05
Hendrik Muhammad,ok,5,2026-05-22 21:15:36
MAXIMUS JUAN MEOL,pesan tiket mudah dan praktis,5,2026-05-22 20:53:07
Muhamad Rofi,"aplikasi bobrok, pesen tiket az susah dapetnya",1,2026-05-22 18:02:09
KOCHENG BAJANG,"jangan update ke app v6.18++ masih banyak bug, versi paling stabil 6.17.1",1,2026-05-22 17:43:27
fanisa tria,lemot,2,2026-05-22 17:03:35
arma guspia,lokasi stasiun-stasiun kereta jalur Kertapati-Tanjungkarang tidak lengkap,4,2026-05-22 16:56:52
Sriayupujiati Pujiati,parah ini ga bisa di batalin tiketnya,1,2026-05-22 16:52:10
Anggi Septiawan,lemot aplikasi berat,4,2026-05-22 14:47:18
Kanjeng Aan,ok banget,5,2026-05-22 14:14:34
Andaru Azmi,terlalu sering eror,3,2026-05-22 13:03:17
Sarah Irdina sahwa,tolong adakan fitur retur ke e-wallet karna ini sulit sekali harus pakai akun bank,1,2026-05-22 12:56:49
yudha purbawa,"aplikasi katrok, sering hang..",1,2026-05-22 12:51:33
Mahardhika hafidz Pratama firmansyah,bagus banget bisa buat pergi pergi,5,2026-05-22 12:33:22
asep toni,aplikasinya semakin lemot. padahal bagus versi sebelumnya.,2,2026-05-22 12:25:20
Dwi Sumarsih,jelek,1,2026-05-22 12:15:57
FERY CANDRA,bagus,5,2026-05-22 11:37:27
Khairul Insan Nana Lina,aku gak bisa download nih apk . mentok di 65% terus gagal. udah ku coba beberapa kali tetap aja kek gitu . padahal sinyalnya lancar. pake wifi juga gak bisa.. gimana ini?,1,2026-05-22 10:18:36
Worship Project Ministry Indonesia,Ribet susah login dan kebanyakan gangguan sistem. Mending lewat Traveloka dkk,1,2026-05-22 10:00:59
Syakirul Amin,kerennn,5,2026-05-22 09:41:59
Aidy Subiyanto,mantap,5,2026-05-22 09:34:30
Miming Wijaya,cukup terbantu,5,2026-05-22 09:22:36
Abdullah Salam,"makin update, makin error.",1,2026-05-22 09:15:09
Budi Nugraha,"setelah update kok ga ada jadwal kereta 1 pun, sudah gonta ganti tanggal, gonta ganti tujuan tetep gada",1,2026-05-22 07:43:56
Aisyah Sania,"nggak bisa masuk anjirr udah banyak akun yang gw coba tapi tetep ngga bisa masuk, masalahnya selalu di kata sandi, padahal kata sandi nya udah bener gw masukin, udah greget banget sumpah padahal di waktu mendesak dia ngga bisa di gunain cepet",1,2026-05-22 06:55:58
HelenS Marlina,Good...,5,2026-05-22 06:43:46
sukamto partodiharjo,"simpel dan efektif memudah kan untuk pemesanan ka dlm. kota dan jarak jauh. untuk bagasi khusus nya tentengan hanya stasiun jakarta pasar senin saja yg.agak komersil. contoh saya dari nganjuk bawa organ tunggal musik, ngga ribet dan bisa masuk.tapi di pasar senin . harus di paket kan. !!!!.",5,2026-05-22 06:42:49
IMAM MAMURI,"untuk loging Error trs udah 3 hari, kecewa berat",1,2026-05-22 06:31:16
Rofita Velikasarie,"aplikasinya kenawhy gak jelas sik sekarang tuh? nyari jadwal kereta aja susahnya minta ampun. kalo memang tiket udah sold out, gak apa apa kalik dicantumin sold out kayak dulu2. ini yang sekarang main gak ada jadwal aja. jadinya bingung, perjalanan kereta antara stasiun yang mau dituju adanya kereta apa aja. jangankan buat lihat tiket, perjalanan dan kereta yang ingin dibooking aja gak ada. cape dehhh. mau naek kereta aja ribet. apa kudu ke stasiunnya kayak dulu ta? balik aja ke jaman purba",1,2026-05-22 05:44:42
alfin dwi nugroho,jos,5,2026-05-22 05:38:40
Maman Setiawan,"apa ini susah log in sampe ketinggalan kereta,",1,2026-05-22 05:13:10
Moch. Rakha Raynoor Irsyad,"mau login ""sedang terjadi gangguan"" mulu",1,2026-05-22 05:04:42
Lea Machfuz,Alhamdulillah,5,2026-05-22 04:43:53
Nrs,best bgt,5,2026-05-22 04:29:46
Yati Susanti,"sangat tanggap,",4,2026-05-22 03:57:39
ayudia ayudia,"setiap login masukin sandi.. respon selalu ada gangguan,percobaan 3 kali gagal nunggu 1 jam lagi, di coba lagi sign respon sama terjadi gangguan ( 403 ) . lama2 aplikasi nya menyusahkan",3,2026-05-22 03:38:17
Handiono Handi,mantap,5,2026-05-22 02:29:28
Edi Supriyadi,mantap jiwa,5,2026-05-22 01:53:30
robi kurnia,tidak bisa ubah jadwal tiket dan pembatalan tiket. Gagal terus. mohon aplikasi diperbaiki,1,2026-05-22 01:05:31
Irwan Game,"KAI topup apa2 kebanyakan admin,, topup ke e wallet kena admin,, top up ke kartu KAI dari e wallet nya kena admin juga,, padahal kan kartunya punya KAI sendiri,,, kenapa harus pake biaya admin??",1,2026-05-22 00:31:26
Teddy New,good,5,2026-05-21 23:06:50
Sahrul Muladi,okeee,5,2026-05-21 22:44:02
Siong Men,terpecaya,5,2026-05-21 22:32:53
wina 24,sangat puas,5,2026-05-21 21:58:39
Andri Harjoso,setiap update baru pasti disuruh daftar kaipai lagi. jelek,1,2026-05-21 17:30:39
M Zulvan Sulaiman,"lebih suka yang versi lama, versi baru malah jelek banget terutama pas mau war tiket, aneh sinyal kenceng tiba2 lemot di aplikasinya..dulu ketika di aplikasi versi sebelumnya gaada masalah, ini malah buffering, hadeeeehh tolong di perbaiki deh",1,2026-05-21 17:17:58
Eka Gangsar,"membantu saya untuk memesan tiket kereta api, tetapi perlu banyak yang harus diperbaiki seperti hilang nya jadwal jika keseringan cek jadwal kereta dari kategori jarak jauh ataupun lokal",5,2026-05-21 16:15:00
Ramdhan Kusuma,"apk kaga jelas. masih ada saldo tapi suruh aktivasi, di klik aktivasi kaga bisa. cs 3 jam kaga bales bales. gila dari jam 9 sampe kereta terakhir belom di bales wa gua oleh cs. apk busuk ni",1,2026-05-21 16:14:12
Jumpa Ridwan,ok,5,2026-05-21 15:58:16
Ilham Sanjaya,top,5,2026-05-21 14:52:24
HOTEL Omah Kulo,cepat,5,2026-05-21 14:37:25
devi agustin,"nyesal kali barusan aku update, setelah di update tampilan milih kursinya malah jadi kotak kecil kecil, gak membantu kali bagi yg mata minus",4,2026-05-21 14:18:10
Kustono Abc,ok,5,2026-05-21 13:11:45
Andika Aja,lama banget nunggu perpindahan jalurnya,1,2026-05-21 13:01:43
Runita Agustia Putri,"tolong dong aplikasinya dibenerin, ini sering banget errornya",3,2026-05-21 12:38:59
Heru Salam,puas dg layanan KAI,5,2026-05-21 12:36:39
Rini Cakra,setelah update banyak bug kaya Lempuyangan ke cirebon harusnya ada jaka tingkir tp disuruh transit di jatinegara rusakk,3,2026-05-21 12:23:00
Arsyaha Muzakki,aplikasinya mudah dan informatif,5,2026-05-21 10:44:16
Tantien.bazari@gmail.com emailtantien,baik,5,2026-05-21 09:23:50
Permatagolba2,pembatalan tiket udh 7 hari kerja masih blom balik uangnya,1,2026-05-21 08:53:23
Robby W.S,good 👍,5,2026-05-21 06:46:19
TomGan 1983,keren,5,2026-05-21 05:14:00
Yani Ekowati,sukses selalu utk PT KAI.... sangat nyaman beli disini,5,2026-05-21 05:13:24
Markat Somantri,sangat bagus,5,2026-05-21 03:46:14
Angga Rudianto,gmn gak bs cari tiket manapun ininih cb semua jadwal konyol gak ada,1,2026-05-21 03:22:34
josh new,cepat proses nya,5,2026-05-21 03:02:29
Jusman Marero,layanan onileni bikin simpel,5,2026-05-21 02:54:09
Andri Martadinata,good,5,2026-05-21 02:48:57
Maudy Aliran,"lagi ngecek tiket untuk bulan juni, pas buka ada dan tinggal pilih kursi. tiba-tiba tiket ditemukan untuk seluruh bulan juni sampai juli....apa-apaan ini",1,2026-05-21 02:43:44
Bim Salabim,"kecepatan sekian ratus km per jam, faktanta naik motor jauh lbh cepet jing ah",1,2026-05-21 02:23:52
orang sukses,"kok keretanya ga lengkap yaa, tolong masukin kereta Pandawangi",2,2026-05-21 02:11:29
Muhammad Ridwan Taufik,"bagus ,mudah,simpel",5,2026-05-21 01:25:23
War Dana,bagus,5,2026-05-20 21:18:25
Aldi Muhamad A.,"baru download, tapi gak bisa login padahal udah daftar :( muter aja teruss",5,2026-05-20 18:50:03
dick febrian,Kok aneh aplikasinya.. muncul notifikasi anda pernah memesan dengan jadwal kereta yg sama pdahal itu baru lihat jdwal dan gagal pula pas kmaren..diulang lagi mau pesen tiket kreta itu muncul lagi notifikasi sperti itu..ujung-ujungnya kehabisan tiket.. gmna ini..,1,2026-05-20 17:22:47
Agus Nasrul,"jadwal keberangkatan kereta banyak yang tidak muncul. terutama tiket kereta ekonomis. seolah olah disembunyikan saat pencarian jadwal kereta tidak tersedia, (kereta air langga)",1,2026-05-20 17:07:58
KRIBO FAMILY,ok,5,2026-05-20 15:25:36
Achmad Mursalin,kenapa tidak bisa di pakai dengan notifikasi aplikasi sedang dalam pemeliharaan,1,2026-05-20 13:53:55
Wapphy,keren,5,2026-05-20 13:30:44
Silas Suryadi,bagus,5,2026-05-20 13:25:30
Azzam Zad,lemot,1,2026-05-20 12:50:32
Dodik Wahyu,mantab,5,2026-05-20 12:40:08
Setia Putri,Sugooiii,5,2026-05-20 12:23:22
Dicky Putra Ramadhan,sudah tidak bisa dipakai dihp saya,1,2026-05-20 12:11:07
David Wahyudiantoro,sangat membantu perjalanan mudah dan nyaman,5,2026-05-20 12:01:24
Mohamad Isnaludin,aplikasi sangat memuaskan,5,2026-05-20 11:13:53
Marqueen Soeharto,"sebelumnya sudah bagus, tapi setelah update kok tampilan menu nya jadi jadul ya dan sering error",3,2026-05-20 10:45:51
nanag Solikhin,mantap,5,2026-05-20 09:02:07
Desy Natalia,sangat membantu pesen tiket,5,2026-05-20 08:53:31
Hotman Robert Situngkir,"Makin di update ko malah tambah gak jelas... mending versi yg dulu aja, jarang ada masalah",3,2026-05-20 07:55:38
Rido Arif Tamimi,KAI yg bener aja gangguan trs giliran di iPhone tidak gangguan di android gangguan jadi tidak bisa memesan tiket kreta dan sehingga kehabisan tiket,1,2026-05-20 07:40:12
Win Windratmo,"bagus sekali usul,dirancaekek behenti dong untuk ka ekonomi jarak jauh",5,2026-05-20 07:40:06
Perencanaan UIP Sumbagut,"aplikasi error seperti, gak bisa registrasi, loading OTP gak bisa selesai",1,2026-05-20 07:37:27
22_Muh. Abdul Hamid Mahmud,akses cukup mudah,5,2026-05-20 07:26:13
Ismailrudy Mail,"Dari kecil sy sering bepergian pakai KAI semakin kesini dr segi pelayanan keamanan dan kenyamanan KAI semakin baik, teruslah berbenah KAI untuk menjadi mode transportasi terbaik pilihan masyarakat..👍👍👍",5,2026-05-20 07:09:17
Griya Asasta,markotop dech,5,2026-05-20 07:08:37
Fian Nahari,"mantap, mudah untuk proses pembatalan",5,2026-05-20 06:20:15
R. Darmawan,"info yang sudah diinput, tdk dapat terekam",4,2026-05-20 05:57:45
eko bakti c jaya,memuaskan layanannya.... 👌👍,5,2026-05-20 03:07:56
Aef Syaefullah,harga nya ga masuk akal. terus sering eror,1,2026-05-20 02:46:26
Kasih Hanggeni,Terimakasih,5,2026-05-20 02:45:15
Rizqan Dharma putra,sangat membantu,5,2026-05-20 01:34:25
siska ns,bagus,5,2026-05-20 01:23:53
Irpan Hardi,sangat cocok,5,2026-05-20 01:02:48
Nur Woko,bagus,5,2026-05-19 22:47:27
Nona Chinese,bismillah knpa skrg apk nya sangat sulit utk melakukan pemesanan tiket. tidak pernah muncul tiket dalam pencarian dan udh logout un install ttep sama malah dapet notif akun terblock 24jam. sampai membuat 3akun agar bisa pesan tiket hasilnya zonk tiket tetap tidak muncul. sedangkan pesan tiket lgsg ke loket tidak bisa krn wajib dr kai access. namun apk nya sungguh tdk bisa dipakai sgt mempersulit 😭,1,2026-05-19 21:56:46
Reny Ambarwati,"Yang perlu diperbaiki adalah bagian pembayaran. Ada sisa waktu pembayaran tapi kalo udah keluar dari pemesanan tiket ga bisa bayar, terus tagihan juga kadang Rp0. Selalu ngebug waktu pembatalan pemesanan. Jadi waktu mau pesan ulang jadi ga bisa karena kita ga bisa pesen tiket di jadwal yang sama. Kayaknya waktu pembatalan pemesanan tuh di database nya belum ke hapus atau lama kehapusnya. Dan itu terjadi jg waktu sisa waktu pelunasannya habis. UI/UX nya yg baru berantakan menurutku jd mlh bingung",3,2026-05-19 17:43:29
Adka Mulya,KECEWA BIKIN EMOSI,1,2026-05-19 17:35:01
MxG,"sistem operasional nya eror mau pesen tiket ga ada jadwal sampe +44h pdhl udh jam 00.01 wib , sebelum nya ada tetapi ga ada kenapa saya pesen jam segini dan +1bulan lebih? karena ke Palembang cuma ada 1 kereta dan gada pilihan eksekutif/bisnis hanya ekonomi dgn kursi 90° nya tolong di perbaiki, sy perlu untuk pergi tes ujian apk nya bagus,cuma di bagian jadwal nya sering hilang sendiri 🙂",1,2026-05-19 17:19:12
Bengawan Solo,masih bagus versi ini dari pada di Perbaharui,4,2026-05-19 16:10:54
Yohanes Dwi Prasetyo,sangat bermanfaat dan membantu untuk pesan online dengan mudah,5,2026-05-19 15:13:49
Bagas Prama,"aplikasi ampas , beli tiket untuk 3 orang gagal terus",1,2026-05-19 15:13:08
Barun Zahid,"sering eror minn, tolong diperbaiki lah",3,2026-05-19 14:21:28
akhmad zaenudin,tolong Pihak kai kenapa kereta kebumen Mahalnya minta ampun padahal de Gombong harganya murah sama² kebumen..? jagn cuma mikir untung Rakyat juga di pikir sama² satu daerah masa harganya beda gede bgt..?,1,2026-05-19 13:01:56
Iman Rahman,sangat interaktif,5,2026-05-19 12:58:56
Alvarendra Adelard,"ribet, lambat, metode pembayaran tidak lengkap.",1,2026-05-19 12:45:19
Sigid Kristiawan,membantu,5,2026-05-19 12:31:41
D.A Muhaemin,Bagus cepet respon nya,5,2026-05-19 11:46:10
Sidi M Suardi,ini kenapa yaa setiap di buka keluar mulu?? pleasee help,1,2026-05-19 11:30:20
Wannm,"pembayaran pake qris pake 2 bank berbeda, malah saldo kepotong, tiket gak dapet sebab waktu pembayaran nya habis....",1,2026-05-19 11:11:20
Admmitratani Magelang,bagus,5,2026-05-19 09:06:55
